locale	lat	lng	confirmed	deaths	recovered	lastUpdated	yesterdayConfirmed	deltaPct	newCases	newRecovered	newDeaths
New York, US	42.1657	-74.9481	214454	11617	23887	2020-04-15 22:56:51	203020	5.0	11434	0	775
New York, US	42.1657	-74.9481	241712	17671	23887	2020-04-18 22:32:47	230597	4.0	11115	0	540
New York, US	42.1657	-74.9481	282143	22009	23887	2020-04-26 02:32:45	271590	3.0	10553	0	598
New York, US	42.1657	-74.9481	223691	14832	23887	2020-04-16 23:30:51	214454	4.0	9237	0	3215
New York, US	42.1657	-74.9481	271590	21411	23887	2020-04-25 06:32:46	263460	3.0	8130	0	438
New York, US	42.1657	-74.9481	203020	10842	23887	2020-04-14 23:33:31	195749	3.0	7271	0	784
New York, US	42.1657	-74.9481	230597	17131	23887	2020-04-17 23:30:52	223691	3.0	6906	0	2299
New York, US	42.1657	-74.9481	195749	10058	23887	2020-04-13 23:07:54	189033	3.0	6716	0	673
New York, US	42.1657	-74.9481	247815	18298	23887	2020-04-19 23:41:01	241712	2.0	6103	0	627
New York, US	42.1657	-74.9481	288045	22269	23887	2020-04-27 02:32:46	282143	2.0	5902	0	260
New York, US	42.1657	-74.9481	258361	19104	23887	2020-04-21 23:40:34	253060	2.0	5301	0	493
New York, US	42.1657	-74.9481	253060	18611	23887	2020-04-20 23:36:47	247815	2.0	5245	0	313
Massachusetts, US	42.2302	-71.5301	50969	2556		2020-04-25 06:32:46	46023	10.0	4946	0	196
New York, US	42.1657	-74.9481	263292	19413	23887	2020-04-22 23:40:26	258361	1.0	4931	0	309
New York, US	42.1657	-74.9481	304372	23587	54771	2020-05-01 02:32:32	299691	1.0	4681	1533	110
New York, US	42.1657	-74.9481	312977	24198	57540	2020-05-03 02:32:33	308314	1.0	4663	1353	159
New York, US	42.1657	-74.9481	299691	23477	53238	2020-04-30 02:32:31	295106	1.0	4585	1608	565
New Jersey, US	40.2989	-74.521	75317	3518		2020-04-16 23:30:51	71030	6.0	4287	0	362
New Jersey, US	40.2989	-74.521	68824	2805		2020-04-14 23:33:31	64584	6.0	4240	0	362
New Jersey, US	40.2989	-74.521	100025	5426		2020-04-24 03:33:00	95914	4.0	4111	0	276
Illinois, US	40.3495	-88.9861	83021	3601		2020-05-13 03:32:30	79007	5.0	4014	0	142
New York, US	42.1657	-74.9481	291996	22668	23887	2020-04-28 02:32:46	288045	1.0	3951	0	399
New York, US	42.1657	-74.9481	308314	24039	56187	2020-05-02 02:32:31	304372	1.0	3942	1416	452
New Jersey, US	40.2989	-74.521	85301	4362		2020-04-19 23:41:01	81420	4.0	3881	0	292
Massachusetts, US	42.2302	-71.5301	100805	7035		2020-06-02 02:33:16	96965	3.0	3840	0	189
New Jersey, US	40.2989	-74.521	92387	4753		2020-04-21 23:40:34	88722	4.0	3665	0	257
California, US	36.1162	-119.6816	125738	4529		2020-06-06 02:33:09	122168	2.0	3570	0	85
New Jersey, US	40.2989	-74.521	109038	5938		2020-04-27 02:32:46	105498	3.0	3540	0	24
New Jersey, US	40.2989	-74.521	95914	5150		2020-04-22 23:40:26	92387	3.0	3527	0	397
New York, US	42.1657	-74.9481	327469	26144	55547	2020-05-08 02:32:36	323978	1.0	3491	950	521
New York, US	42.1657	-74.9481	316415	24708	58950	2020-05-04 02:32:32	312977	1.0	3438	1410	510
New Jersey, US	40.2989	-74.521	88722	4496		2020-04-20 23:36:47	85301	4.0	3421	0	134
New Jersey, US	40.2989	-74.521	105498	5914		2020-04-26 02:32:45	102196	3.0	3302	0	231
California, US	36.1162	-119.6816	109895	4144		2020-05-31 02:32:52	106622	3.0	3273	0	67
Illinois, US	40.3495	-88.9861	87937	3928		2020-05-15 02:33:07	84694	3.0	3243	0	136
New Jersey, US	40.2989	-74.521	78467	3840		2020-04-17 23:30:52	75317	4.0	3150	0	322
Illinois, US	40.3495	-88.9861	56055	2457	0	2020-05-02 02:32:31	52918	5.0	3137	0	102
Massachusetts, US	42.2302	-71.5301	41199	1961		2020-04-21 23:40:34	38077	8.0	3122	0	255
New York, US	42.1657	-74.9481	295106	22912	51630	2020-04-29 02:32:33	291996	1.0	3110	27743	244
Massachusetts, US	42.2302	-71.5301	46023	2360		2020-04-24 03:33:00	42944	7.0	3079	0	178
New Jersey, US	40.2989	-74.521	126744	7871	15642	2020-05-04 02:32:32	123717	2.0	3027	0	129
Illinois, US	40.3495	-88.9861	61499	2618	0	2020-05-04 02:32:32	58505	5.0	2994	0	59
California, US	36.1162	-119.6816	99387	3819		2020-05-27 02:32:37	96400	3.0	2987	0	50
New Jersey, US	40.2989	-74.521	81420	4070		2020-04-18 22:32:47	78467	3.0	2953	0	230
New York, US	42.1657	-74.9481	330407	26243	56378	2020-05-09 02:32:39	327469	0.0	2938	831	99
Illinois, US	40.3495	-88.9861	73760	3241		2020-05-09 02:32:39	70871	4.0	2889	0	130
California, US	36.1162	-119.6816	122168	4444		2020-06-05 02:33:15	119348	2.0	2820	0	70
California, US	36.1162	-119.6816	106622	4077		2020-05-30 02:32:55	103813	2.0	2809	0	84
New York, US	42.1657	-74.9481	323978	25623	54597	2020-05-07 02:32:32	321192	0.0	2786	-4353	499
California, US	36.1162	-119.6816	114733	4217		2020-06-02 02:33:16	111951	2.0	2782	0	45
California, US	36.1162	-119.6816	66558	2687		2020-05-10 02:32:34	63779	4.0	2779	0	74
California, US	36.1162	-119.6816	103813	3993		2020-05-29 02:32:58	101050	2.0	2763	0	98
New York, US	42.1657	-74.9481	345813	27878	60302	2020-05-16 02:32:24	343051	0.0	2762	544	237
Illinois, US	40.3495	-88.9861	105444	4715		2020-05-23 02:32:47	102688	2.0	2756	0	108
New Jersey, US	40.2989	-74.521	64584	2443		2020-04-13 23:07:54	61850	4.0	2734	0	93
Illinois, US	40.3495	-88.9861	39658	1795		2020-04-25 06:32:46	36937	7.0	2721	0	107
New York, US	42.1657	-74.9481	333122	26612	57180	2020-05-10 02:32:34	330407	0.0	2715	802	369
New Jersey, US	40.2989	-74.521	113856	6442	15642	2020-04-29 02:32:33	111188	2.0	2668	15642	398
Illinois, US	40.3495	-88.9861	70871	3111		2020-05-08 02:32:36	68232	3.0	2639	0	137
California, US	36.1162	-119.6816	48747	1946		2020-04-30 02:32:31	46164	5.0	2583	0	82
California, US	36.1162	-119.6816	58456	2381		2020-05-06 02:32:35	55884	4.0	2572	0	103
Illinois, US	40.3495	-88.9861	52918	2355	0	2020-05-01 02:32:32	50358	5.0	2560	0	140
New Jersey, US	40.2989	-74.521	121190	7538	15642	2020-05-02 02:32:31	118652	2.0	2538	0	310
New York, US	42.1657	-74.9481	318953	24999	58950	2020-05-05 02:32:38	316415	0.0	2538	0	291
New Jersey, US	40.2989	-74.521	123717	7742	15642	2020-05-03 02:32:33	121190	2.0	2527	0	204
New Jersey, US	40.2989	-74.521	116365	6771	15642	2020-04-30 02:32:31	113856	2.0	2509	0	329
Illinois, US	40.3495	-88.9861	110304	4856		2020-05-25 02:32:50	107796	2.0	2508	0	66
California, US	36.1162	-119.6816	117215	4305		2020-06-03 02:33:21	114733	2.0	2482	0	88
Illinois, US	40.3495	-88.9861	58505	2559	0	2020-05-03 02:32:33	56055	4.0	2450	0	102
Illinois, US	40.3495	-88.9861	90369	4059		2020-05-16 02:32:24	87937	2.0	2432	0	131
New York, US	42.1657	-74.9481	348232	28049	60796	2020-05-17 02:32:37	345813	0.0	2419	494	171
New York, US	42.1657	-74.9481	343051	27641	59758	2020-05-15 02:33:07	340661	0.0	2390	565	164
Illinois, US	40.3495	-88.9861	100418	4525		2020-05-21 02:32:54	98030	2.0	2388	0	146
California, US	36.1162	-119.6816	96400	3769		2020-05-26 02:32:41	94020	2.0	2380	0	15
Massachusetts, US	42.2302	-71.5301	53348	2730		2020-04-26 02:32:45	50969	4.0	2379	0	174
Illinois, US	40.3495	-88.9861	107796	4790		2020-05-24 02:32:48	105444	2.0	2352	0	75
Illinois, US	40.3495	-88.9861	68232	2974		2020-05-07 02:32:32	65889	3.0	2343	0	140
Illinois, US	40.3495	-88.9861	76085	3349		2020-05-10 02:32:34	73760	3.0	2325	0	108
New Jersey, US	40.2989	-74.521	130593	8244	15642	2020-05-06 02:32:35	128269	1.0	2324	0	334
Pennsylvania, US	40.5908	-77.2098	38379	1724		2020-04-24 03:33:00	36082	6.0	2297	0	51
California, US	36.1162	-119.6816	83752	3403		2020-05-20 02:32:25	81457	2.0	2295	0	124
Illinois, US	40.3495	-88.9861	96485	4234		2020-05-19 02:32:23	94191	2.0	2294	0	57
California, US	36.1162	-119.6816	92539	3738		2020-05-24 02:32:48	90252	2.0	2287	0	72
New Jersey, US	40.2989	-74.521	118652	7228	15642	2020-05-01 02:32:32	116365	1.0	2287	0	457
Illinois, US	40.3495	-88.9861	63777	2659	0	2020-05-05 02:32:38	61499	3.0	2278	0	41
New York, US	42.1657	-74.9481	335395	26641	58006	2020-05-11 02:32:34	333122	0.0	2273	826	29
Illinois, US	40.3495	-88.9861	102688	4607		2020-05-22 02:36:57	100418	2.0	2270	0	82
Massachusetts, US	42.2302	-71.5301	32181	1108		2020-04-16 23:30:51	29918	7.0	2263	0	0
Illinois, US	40.3495	-88.9861	50358	2215		2020-04-30 02:32:31	48102	4.0	2256	0	90
California, US	36.1162	-119.6816	33686	1225		2020-04-20 23:36:47	31431	7.0	2255	0	48
California, US	36.1162	-119.6816	85997	3497		2020-05-21 02:32:54	83752	2.0	2245	0	94
New York, US	42.1657	-74.9481	321192	25124	58950	2020-05-06 02:32:35	318953	0.0	2239	0	125
California, US	36.1162	-119.6816	90252	3666		2020-05-23 02:32:47	88031	2.0	2221	0	83
Massachusetts, US	42.2302	-71.5301	34402	1245		2020-04-17 23:30:52	32181	6.0	2221	0	137
Illinois, US	40.3495	-88.9861	48102	2125		2020-04-29 02:32:33	45883	4.0	2219	0	142
California, US	36.1162	-119.6816	39561	1533		2020-04-24 03:33:00	37344	5.0	2217	0	112
New Jersey, US	40.2989	-74.521	71030	3156		2020-04-15 22:56:51	68824	3.0	2206	0	351
New York, US	42.1657	-74.9481	340661	27477	59193	2020-05-14 03:32:32	338485	0.0	2176	514	193
New Jersey, US	40.2989	-74.521	102196	5683		2020-04-25 06:32:46	100025	2.0	2171	0	257
California, US	36.1162	-119.6816	60616	2464		2020-05-07 02:32:32	58456	3.0	2160	0	83
New Jersey, US	40.2989	-74.521	111188	6044		2020-04-28 02:32:46	109038	1.0	2150	0	106
California, US	36.1162	-119.6816	119348	4374		2020-06-04 02:33:23	117215	1.0	2133	0	69
Illinois, US	40.3495	-88.9861	43903	1933		2020-04-27 02:32:46	41777	5.0	2126	0	58
Illinois, US	40.3495	-88.9861	41777	1875		2020-04-26 02:32:45	39658	5.0	2119	0	80
Illinois, US	40.3495	-88.9861	65889	2834		2020-05-06 02:32:35	63777	3.0	2112	0	175
Connecticut, US	41.5978	-72.7554	22469	1544		2020-04-22 23:40:26	20360	10.0	2109	0	121
Massachusetts, US	42.2302	-71.5301	64311	3716	0	2020-05-02 02:32:31	62205	3.0	2106	0	154
New Jersey, US	40.2989	-74.521	133991	8807	15642	2020-05-08 02:32:36	131890	1.0	2101	0	258
Illinois, US	40.3495	-88.9861	92457	4129		2020-05-17 02:32:37	90369	2.0	2088	0	70
New York, US	42.1657	-74.9481	356458	28743	62826	2020-05-22 02:36:57	354370	0.0	2088	940	107
California, US	36.1162	-119.6816	74871	3052		2020-05-15 02:33:07	72798	2.0	2073	0	95
California, US	36.1162	-119.6816	111951	4172		2020-06-01 02:32:54	109895	1.0	2056	0	28
Illinois, US	40.3495	-88.9861	35107	1565		2020-04-22 23:40:26	33059	6.0	2048	0	97
California, US	36.1162	-119.6816	88031	3583		2020-05-22 02:36:57	85997	2.0	2034	0	86
California, US	36.1162	-119.6816	78725	3208		2020-05-17 02:32:37	76693	2.0	2032	0	72
Texas, US	31.0545	-97.5635	72548	1812	47865	2020-06-06 02:33:09	70555	2.0	1993	1066	36
Illinois, US	40.3495	-88.9861	45883	1983		2020-04-28 02:32:46	43903	4.0	1980	0	50
Texas, US	31.0545	-97.5635	64652	1675	42423	2020-06-01 02:32:54	62675	3.0	1977	2355	23
Massachusetts, US	42.2302	-71.5301	36372	1404		2020-04-18 22:32:47	34402	5.0	1970	0	159
Massachusetts, US	42.2302	-71.5301	60265	3405		2020-04-30 02:32:31	58302	3.0	1963	0	252
Massachusetts, US	42.2302	-71.5301	66263	3846	0	2020-05-03 02:32:33	64311	3.0	1952	0	130
Massachusetts, US	42.2302	-71.5301	62205	3562	0	2020-05-01 02:32:32	60265	3.0	1940	0	157
California, US	36.1162	-119.6816	52026	2126	0	2020-05-02 02:32:31	50130	3.0	1896	0	95
New York, US	42.1657	-74.9481	350121	28232	61381	2020-05-18 02:32:26	348232	0.0	1889	585	183
California, US	36.1162	-119.6816	37344	1421		2020-04-22 23:40:26	35465	5.0	1879	0	139
Connecticut, US	41.5978	-72.7554	19815	1331		2020-04-20 23:36:47	17962	10.0	1853	0	204
Texas, US	31.0545	-97.5635	60395	1611	38905	2020-05-29 02:32:58	58542	3.0	1853	1279	30
New Jersey, US	40.2989	-74.521	135840	8960	15642	2020-05-09 02:32:39	133991	1.0	1849	0	153
Illinois, US	40.3495	-88.9861	27578	1132		2020-04-17 23:30:52	25734	7.0	1844	0	60
Massachusetts, US	42.2302	-71.5301	58302	3153		2020-04-29 02:32:33	56462	3.0	1840	0	150
Illinois, US	40.3495	-88.9861	36937	1688		2020-04-24 03:33:00	35107	5.0	1830	0	123
Pennsylvania, US	40.5908	-77.2098	40208	1747		2020-04-25 06:32:46	38379	4.0	1829	0	23
Massachusetts, US	42.2302	-71.5301	68087	4004	0	2020-05-04 02:32:32	66263	2.0	1824	0	158
California, US	36.1162	-119.6816	76693	3136		2020-05-16 02:32:24	74871	2.0	1822	0	84
California, US	36.1162	-119.6816	72798	2957		2020-05-14 03:32:32	70978	2.0	1820	0	78
California, US	36.1162	-119.6816	41355	1621		2020-04-25 06:32:46	39561	4.0	1794	0	88
Maryland, US	39.0639	-76.8021	41546	2081	2868	2020-05-20 02:32:25	39762	4.0	1784	51	58
California, US	36.1162	-119.6816	35465	1282		2020-04-21 23:40:34	33686	5.0	1779	0	57
Tennessee, US	35.7478	-86.6923	24342	381	15916	2020-06-03 02:33:21	22566	7.0	1776	352	17
Texas, US	31.0545	-97.5635	62675	1652	40068	2020-05-31 02:32:52	60901	2.0	1774	0	33
New York, US	42.1657	-74.9481	359926	29031	63292	2020-05-24 02:32:48	358154	0.0	1772	0	178
New York, US	42.1657	-74.9481	366733	29529	64954	2020-05-29 02:32:58	364965	0.0	1768	322	45
Pennsylvania, US	40.5908	-77.2098	31652	1042		2020-04-18 22:32:47	29888	5.0	1764	0	121
Massachusetts, US	42.2302	-71.5301	29918	1108		2020-04-15 22:56:51	28164	6.0	1754	0	264
Massachusetts, US	42.2302	-71.5301	72025	4420		2020-05-07 02:32:32	70271	2.0	1754	0	208
Massachusetts, US	42.2302	-71.5301	42944	2182		2020-04-22 23:40:26	41199	4.0	1745	0	221
New Jersey, US	40.2989	-74.521	148240	10439	23496	2020-05-19 02:32:23	146504	1.0	1736	197	76
Illinois, US	40.3495	-88.9861	94191	4177		2020-05-18 02:32:26	92457	1.0	1734	0	48
Texas, US	31.0545	-97.5635	47452	1318	26601	2020-05-17 02:32:37	45721	3.0	1731	1147	38
Maryland, US	39.0639	-76.8021	23472	1080	1517	2020-05-02 02:32:31	21742	7.0	1730	85	-60
California, US	36.1162	-119.6816	69329	2779		2020-05-12 03:32:31	67600	2.0	1729	0	63
Texas, US	31.0545	-97.5635	67310	1716	44517	2020-06-03 02:33:21	65593	2.0	1717	1179	33
Illinois, US	40.3495	-88.9861	112017	4885		2020-05-26 02:32:41	110304	1.0	1713	0	29
Massachusetts, US	42.2302	-71.5301	38077	1706		2020-04-19 23:41:01	36372	4.0	1705	0	302
Massachusetts, US	42.2302	-71.5301	73721	4552		2020-05-08 02:32:36	72025	2.0	1696	0	132
New York, US	42.1657	-74.9481	358154	28853	63292	2020-05-23 02:32:47	356458	0.0	1696	466	110
Massachusetts, US	42.2302	-71.5301	82182	5482		2020-05-15 02:33:07	80497	2.0	1685	0	167
Texas, US	31.0545	-97.5635	70555	1776	46799	2020-06-05 02:33:15	68877	2.0	1678	941	32
Illinois, US	40.3495	-88.9861	84694	3792		2020-05-14 03:32:32	83021	2.0	1673	0	191
California, US	36.1162	-119.6816	101050	3895		2020-05-28 02:32:37	99387	1.0	1663	0	76
New York, US	42.1657	-74.9481	337055	26988	58363	2020-05-12 03:32:31	335395	0.0	1660	357	347
New Jersey, US	40.2989	-74.521	158844	11531	26084	2020-05-30 02:32:55	157185	1.0	1659	280	122
Illinois, US	40.3495	-88.9861	77741	3406		2020-05-11 02:32:34	76085	2.0	1656	0	57
California, US	36.1162	-119.6816	70978	2879		2020-05-13 03:32:30	69329	2.0	1649	0	100
Pennsylvania, US	40.5908	-77.2098	47971	2475	0	2020-05-01 02:32:32	46327	3.0	1644	0	102
