locale,lat,lng
"Autauga, Alabama",32.5791817,-86.49965460000001
"Baldwin, Alabama",30.6010744,-87.77633329999999
"Barbour, Alabama",31.8172896,-85.35496499999999
"Bibb, Alabama",32.9562798,-87.14228949999999
"Blount, Alabama",34.0145152,-86.49965460000001
"Bullock, Alabama",32.0573536,-85.7256372
"Butler, Alabama",32.0895908,-88.2219652
"Calhoun, Alabama",33.7701576,-85.80766
"Chambers, Alabama",32.3778745,-86.2960295
"Cherokee, Alabama",34.7570342,-87.9728143
"Chilton, Alabama",32.944392,-86.6611083
"Choctaw, Alabama",32.0716631,-88.24611829999999
"Clarke, Alabama",31.7002461,-87.77633329999999
"Clay, Alabama",32.537,-86.258236
"Cleburne, Alabama",33.6261707,-85.52002399999999
"Coffee, Alabama",32.6325308,-85.4048462
"Colbert, Alabama",34.7117567,-87.89424509999999
"Conecuh, Alabama",31.501571,-86.9824288
"Coosa, Alabama",32.8897772,-86.2196937
"Covington, Alabama",31.3066438,-86.49965460000001
"Crenshaw, Alabama",31.6671872,-86.3376761
"Cullman, Alabama",34.1748208,-86.8436124
"Dale, Alabama",31.4645298,-85.684578
"Dallas, Alabama",32.2332138,-87.14228949999999
"DeKalb, Alabama",34.5211397,-85.684578
"Elmore, Alabama",32.5387448,-86.3149712
"Escambia, Alabama",31.1394734,-87.14228949999999
"Etowah, Alabama",34.0455341,-86.05296039999999
"Fayette, Alabama",33.6845539,-87.8308522
"Franklin, Alabama",32.4784706,-85.8024562
"Geneva, Alabama",31.0329572,-85.8638242
"Greene, Alabama",32.9718107,-87.9334803
"Hale, Alabama",32.7859102,-87.6186379
"Henry, Alabama",31.4469377,-85.1894045
"Houston, Alabama",34.1414925,-87.2580686
"Jackson, Alabama",31.5090521,-87.8944435
"Jefferson, Alabama",33.4914122,-86.9824288
"Lamar, Alabama",33.6923649,-88.0900762
"Lauderdale, Alabama",34.8840876,-87.658113
"Lawrence, Alabama",34.567428,-87.30161319999999
"Lee, Alabama",32.5888702,-85.39627689999999
"Limestone, Alabama",34.78000720000001,-86.9423801
"Lowndes, Alabama",32.221464,-86.6611083
"Macon, Alabama",32.3731182,-85.684578
"Madison, Alabama",34.6992579,-86.74833180000002
"Marengo, Alabama",32.2459085,-87.77633329999999
"Marion, Alabama",32.6323536,-87.3191655
"Marshall, Alabama",34.3652297,-86.3376761
"Mobile, Alabama",30.6953657,-88.0398912
"Monroe, Alabama",31.5119068,-87.460397
"Montgomery, Alabama",32.3792233,-86.3077368
"Morgan, Alabama",34.4240875,-86.86218269999999
"Perry, Alabama",32.598888,-87.30161319999999
"Pickens, Alabama",33.3339954,-88.0900762
"Pike, Alabama",31.8395163,-86.0121573
"Randolph, Alabama",32.8996333,-86.9112451
"Russell, Alabama",32.3552497,-85.1894045
"Shelby, Alabama",33.3039292,-86.6611083
"St. Clair, Alabama",33.6530112,-86.3376761
"Sumter, Alabama",32.6155551,-88.24611829999999
"Talladega, Alabama",33.4359416,-86.1058048
"Tallapoosa, Alabama",32.9201244,-85.84862360000001
"Tuscaloosa, Alabama",33.2098407,-87.56917349999999
"Walker, Alabama",33.8563605,-87.30161319999999
"Washington, Alabama",31.3422346,-88.24611829999999
"Wilcox, Alabama",32.0105439,-87.3413599
"Winston, Alabama",34.1690087,-87.3413599
"Aleutians East Borough, Alaska",55.53880059999999,-161.8988535
"Aleutians West Census Area, Alaska",52.3232697,-174.1596072
"Anchorage, Alaska",61.2180556,-149.9002778
"Bethel Census Area, Alaska",61.09344600000001,-160.8640773
"Bristol Bay Borough, Alaska",58.7578504,-156.7792687
"Dillingham Census Area, Alaska",59.80677919999999,-157.7242585
"Fairbanks North Star Borough, Alaska",64.9526102,-146.4744154
"Haines Borough, Alaska",59.1392237,-135
"Juneau City and Borough, Alaska",58.3019444,-134.4197221
"Kenai Peninsula Borough, Alaska",60.0858486,-151.382264
"Ketchikan Gateway Borough, Alaska",55.5103345,-131.389286
"Kodiak Island Borough, Alaska",57.53693430000001,-153.2659352
"Lake and Peninsula Borough, Alaska",58.0458356,-156.5982286
"Matanuska-Susitna Borough, Alaska",62.2599347,-150.1729153
"Nome Census Area, Alaska",64.8329974,-164.256602
"North Slope Borough, Alaska",69.05787579999999,-152.8628274
"Northwest Arctic Borough, Alaska",67.2872981,-160.0342624
"Petersburg Borough, Alaska",56.8125,-132.9555556
"Prince of Wales-Hyder Census Area, Alaska",55.3242244,-132.6044581
"Sitka City and Borough, Alaska",57.0530556,-135.33
"Southeast Fairbanks Census Area, Alaska",63.9603869,-143.6296999
"Unknown, Alaska",58.7297222,-133.9488888
"Valdez-Cordova Census Area, Alaska",61.4787707,-144.1147195
"Wrangell City and Borough, Alaska",56.4708333,-132.3766666
"Yukon-Koyukuk Census Area, Alaska",65.8443666,-153.4302993
